"""","医療施設数_病院","医療施設数_一般診療所","医療施設数_一般診療所_うち有床","医療施設数_歯科診療所","病床数_病院総数(床)","病床数_病院_精神(床)","病床数_病院_感染症(床)","病床数_病院_結核(床)","病床数_病院_療養(床)","病床数_病院_一般(床)","病床数_一般診療所(床)"
"平成25年(2013年)","86.0","1079.0","120.0","563.0","13850.0","2215.0","32.0","73.0","2794.0","8736.0","1612.0"
"","","","","","","","","","","",""
"和歌山市","39.0","454.0","42.0","235.0","6026.0","785.0","8.0","-","991.0","4242.0","597.0"
"海南市","5.0","55.0","6.0","37.0","360.0","-","-","-","118.0","242.0","78.0"
"橋本市","4.0","69.0","5.0","35.0","672.0","-","-","-","64.0","608.0","63.0"
"有田市","2.0","28.0","2.0","15.0","256.0","-","4.0","-","60.0","192.0","23.0"
"御坊市","3.0","34.0","4.0","18.0","686.0","100.0","4.0","-","51.0","531.0","54.0"
"田辺市","5.0","86.0","11.0","41.0","1222.0","254.0","4.0","-","172.0","792.0","142.0"
"新宮市","3.0","37.0","10.0","31.0","545.0","157.0","4.0","-","68.0","316.0","136.0"
"紀の川市","4.0","65.0","10.0","28.0","642.0","-","4.0","-","220.0","418.0","124.0"
"岩出市","4.0","41.0","4.0","25.0","572.0","221.0","-","-","109.0","242.0","68.0"
"","","","","","","","","","","",""
"紀美野町","1.0","16.0","1.0","3.0","307.0","100.0","-","53.0","54.0","100.0","2.0"
"","","","","","","","","","","",""
"かつらぎ町","1.0","17.0","3.0","10.0","104.0","-","4.0","-","-","100.0","39.0"
"九度山町","1.0","4.0","-","1.0","120.0","120.0","-","-","-","-","-"
"高野町","-","5.0","1.0","4.0","-","-","-","-","-","-","19.0"
"","","","","","","","","","","",""
"湯浅町","1.0","15.0","1.0","7.0","184.0","-","-","-","80.0","104.0","19.0"
"広川町","-","5.0","1.0","2.0","-","-","-","-","-","-","19.0"
"有田川町","3.0","30.0","2.0","14.0","491.0","300.0","-","-","105.0","86.0","20.0"
"","","","","","","","","","","",""
"美浜町","1.0","7.0","1.0","1.0","325.0","-","-","20.0","-","305.0","19.0"
"日高町","-","4.0","1.0","3.0","-","-","-","-","-","-","19.0"
"由良町","-","7.0","1.0","3.0","-","-","-","-","-","-","19.0"
"印南町","-","6.0","1.0","3.0","-","-","-","-","-","-","9.0"
"みなべ町","-","11.0","3.0","4.0","-","-","-","-","-","-","37.0"
"日高川町","-","11.0","-","2.0","-","-","-","-","-","-","-"
"","","","","","","","","","","",""
"白浜町","2.0","17.0","1.0","8.0","470.0","-","-","-","365.0","105.0","19.0"
"上富田町","1.0","10.0","-","5.0","64.0","-","-","-","-","64.0","-"
"すさみ町","1.0","7.0","-","3.0","72.0","-","-","-","24.0","48.0","-"
"","","","","","","","","","","",""
"那智勝浦町","2.0","10.0","3.0","14.0","248.0","-","-","-","158.0","90.0","41.0"
"太地町","-","6.0","3.0","2.0","-","-","-","-","-","-","30.0"
"古座川町","-","7.0","1.0","1.0","-","-","-","-","-","-","2.0"
"北山村","-","1.0","1.0","-","-","-","-","-","-","-","4.0"
"串本町","3.0","14.0","1.0","8.0","484.0","178.0","-","-","155.0","151.0","10.0"
